title,year,normalized_title,key,jellyfin_id,tmdb_id,imdb_id
Benny & Joon (1993),1993,benny and joon,benny and joon|1993,a8712ca256978460d19f7ec47d81dab9,4104,tt0106387
The Best Exotic Marigold Hotel (2012),2011,best exotic marigold hotel,best exotic marigold hotel|2011,aa0e9dac2b994291f716228c5e7fbeae,74534,tt1412386
Better Nate Than Ever (2022),2022,better nate than ever,better nate than ever|2022,87eb57b25e430907a342fb6afe529c51,826953,tt14696284
Beverly Hills Cop: Axel F,2024,beverly hills cop axel f,beverly hills cop axel f|2024,a32ec6cd6e9a054509cd2f8d8f76d749,280180,tt3083016
Beverly Hills Cop II,1987,beverly hills cop ii,beverly hills cop ii|1987,6dcea8b7535b79f7cba00e6231892d27,96,tt0092644
Beverly Hills Cop III,1994,beverly hills cop iii,beverly hills cop iii|1994,41fb89257f49879e8dd5b164f9cd3874,306,tt0109254
Beverly Hills Cop,1984,beverly hills cop,beverly hills cop|1984,82683b3a3c26eb9f34a4e3e8d796b9d3,90,tt0086960
Bewitched (2005),2005,bewitched,bewitched|2005,569b7985b0c4e00e221ad83872aa1c1b,9722,tt0374536
The BFG (2016),2016,bfg,bfg|2016,679171077d6729df1a08f0a506581608,267935,tt3691740
Bicentennial Man,1999,bicentennial man,bicentennial man|1999,abad45d73871442e103e3d57b8149184,2277,tt0182789
Big Bad Wolves (2013),2013,big bad wolves,big bad wolves|2013,2d74c3d6f582c4174293a2a47771c4a3,171540,tt2309224
Big Daddy (1999),1999,big daddy,big daddy|1999,639ff43fff4552b3d69573d7742f9cfb,9032,tt0142342
Big Fat Liar (2002),2002,big fat liar,big fat liar|2002,0c06e09c0396b616f08c03ce8a30dd83,11870,tt0265298
Big Fish,2003,big fish,big fish|2003,55469083c2ed4363f050f108a5a3f89c,587,tt0319061
Big Hero 6,2014,big hero 6,big hero 6|2014,f281eded39cd647ec4133532efa8ddd6,177572,tt2245084
The Big Lebowski (1998),1998,big lebowski,big lebowski|1998,b4fc8bf8eee3e5c3e9593f5efca7f0a4,115,tt0118715
Big Miracle (2012),2012,big miracle,big miracle|2012,74ace6d5755ff8082e6d0ca37468edc5,78698,tt1430615
The Big Short (2015),2015,big short,big short|2015,4abdef45fa857f007f7afdc1f64f1cd9,318846,tt1596363
The Big Sick,2017,big sick,big sick|2017,3a25c2a56891fbd09aa2c5b5a7525ca8,416477,tt5462602
Big Top Scooby-Doo!,2012,big top scooby doo,big top scooby doo|2012,f6813fe8cece4b98f821f0d96dcc53c7,119321,tt2235542
Big (1988),1988,big,big|1988,72576a884eb4f31b239346b2135536e3,2280,tt0094737
Bigger Stronger Faster- (2008),2008,bigger stronger faster,bigger stronger faster|2008,3d85ce1248e735225722b41510c719f2,13636,tt1151309
Bille (2018),2018,bille,bille|2018,84db1186fb0c6ac04b02f595ef8f0dce,519421,tt6020486
Birdman of Alcatraz (1962),1962,birdman of alcatraz,birdman of alcatraz|1962,e2eb04257f911c953793ca91872b4400,898,tt0055798
Birdman or (The Unexpected Virtue of Ignorance),2014,birdman or the unexpected virtue of ignorance,birdman or the unexpected virtue of ignorance|2014,34d11039a7d459e89b24c2f3cd720fee,194662,tt2562232
The Birth of a Nation (2016),2016,birth of a nation,birth of a nation|2016,7214f55b0a4c84c295065191b232bcc6,339408,tt4196450
Black Dawn,2006,black dawn,black dawn|2006,4db620e2f01f443a3a87fa56c0726483,18070,tt0443450
Black Hawk Down,2001,black hawk down,black hawk down|2001,7230af27b319632dd167ea1bc40b8d91,855,tt0265086
Black Mass (2015),2015,black mass,black mass|2015,84d923771e4e98fbd288c83eb34af4a2,261023,tt1355683
Black Panther,2018,black panther,black panther|2018,e64510ed1e304611e946f7e192931fa7,284054,tt1825683
Black Swan,2010,black swan,black swan|2010,2ac4cbadf92c2a2cc21c2e3ac4655545,44214,tt0947798
Black Widow,2021,black widow,black widow|2021,f5ffe5b3c59847c6bb635cc1de821591,497698,tt3480822
Blackfish (2013),2013,blackfish,blackfish|2013,d70a2e3583d903322f073da82fde25ad,158999,tt2545118
BlacKkKlansman (2018),2018,blackkklansman,blackkklansman|2018,f26a1bdb188dcf360bf83d5a70f9f55f,487558,tt7349662
Blade Runner,1982,blade runner,blade runner|1982,7c7abcf0d06f7e92fe0e4cca462b2958,78,tt0083658
Blade,1998,blade,blade|1998,8d01bb263be9f6c7682028827b5a798d,36647,tt0120611
The Blair Witch Project,1999,blair witch project,blair witch project|1999,dd73051664160e6d548668b3ab87a59b,2667,tt0185937
The Blind Side (2009),2009,blind side,blind side|2009,934dc6e06f127020f2d892ca26b5cc66,22881,tt0878804
Blood Diamond (2006),2006,blood diamond,blood diamond|2006,0e8958f3d093949fbfbb30b69410207c,1372,tt0450259
Blood Father (2016),2016,blood father,blood father|2016,3403935d26859f213b11cc6d86ee679c,309886,tt3647498
Blood Simple,1985,blood simple,blood simple|1985,383e6023063934039567d993a3a22834,11368,tt0086979
Blood Work (2002),2002,blood work,blood work|2002,8bc95500bdbc98019b2f6c46125cd70e,9573,tt0309377
Blow,2001,blow,blow|2001,e21805e7d96ed6a91453afcd8901e35b,4133,tt0221027
Blue Bayou (2021),2021,blue bayou,blue bayou|2021,4124bc64a6d54712dce32c0874bff95d,644089,tt11121664
