title,year,normalized_title,key,jellyfin_id,tmdb_id,imdb_id
Sahara (2005),2005,sahara,sahara|2005,b024df9d39cda94a6c60dc986a83d7e8,7364,tt0318649
Salt (2010),2010,salt,salt|2010,3a6bdd0875369255440ee316f1540fa1,27576,tt0944835
The Salvation (2014),2014,salvation,salvation|2014,d621f9f50c82d206074d1609a497a3f6,266285,tt2720680
Samsara,2011,samsara,samsara|2011,ab79a782035478f25f7c983c072d1edf,89708,tt0770802
San Andreas (2015),2015,san andreas,san andreas|2015,c3b6e1caecfb66f90e0f2fe368ca5717,254128,tt2126355
The Sapphires (2012),2012,sapphires,sapphires|2012,789bda70ba053b3382b7822fa04d8a1b,110146,tt1673697
Saving Mr. Banks (2013),2013,saving mr banks,saving mr banks|2013,0c3498a8e186d69f02a12c65916f7964,140823,tt2140373
Saving Private Ryan (1998),1998,saving private ryan,saving private ryan|1998,4c9f18838537544511489352a590284c,857,tt0120815
Saw II (2005),2005,saw ii,saw ii|2005,b69d34e1301f645430293a806890fd13,215,tt0432348
Saw III (2006),2006,saw iii,saw iii|2006,7b0ebe8319bb22f533786c3cd731d39c,214,tt0489270
Saw (2004),2004,saw,saw|2004,00feb7e95ed4196529a22f00f664d6d9,176,tt0387564
A Scanner Darkly (2006),2006,scanner darkly,scanner darkly|2006,978d7f6192e1d7b078a8476797b25449,3509,tt0405296
Scarface (1983),1983,scarface,scarface|1983,0942d349b37fdf75018036c21d68760f,111,tt0086250
Scary Movie (2000),2000,scary movie,scary movie|2000,a610b5a1f1a429f6f7df21210b6bb83b,4247,tt0175142
Scent of a Woman (1992),1992,scent of a woman,scent of a woman|1992,3226b5077ae49aee84b09248e48be27f,9475,tt0105323
Schindler's List,1993,schindlers list,schindlers list|1993,494d3da2d69e1fb24669f84138754fee,424,tt0108052
Scooby-Doo! Frankencreepy (2014),2014,scooby doo frankencreepy,scooby doo frankencreepy|2014,ea9a5c65bf76bc73b0d27adae69e63c4,284995,tt3919322
Scooby-Doo! Music of the Vampire (2012),2012,scooby doo music of the vampire,scooby doo music of the vampire|2012,8fb1267ce6c5830014cf3d2f69a8f750,81900,tt2162709
Scooby-Doo! WrestleMania Mystery (2014),2014,scooby doo wrestlemania mystery,scooby doo wrestlemania mystery|2014,93b0d6d8939a541e1764e5ff4e6bcd33,258893,tt2337576
Scoop (2006),2006,scoop,scoop|2006,f9fd1ecb73e0675ef5ce992aa3397382,512,tt0457513
The Score (2001),2001,score,score|2001,8efd169f9089a6b7fae61a2f30f40188,11371,tt0227445
The Scorpion King (2002),2002,scorpion king,scorpion king|2002,e2af65c7dd1dc6f7fc630090bf6486c6,9334,tt0277296
Scream 2,1997,scream 2,scream 2|1997,cce8b2355ad254e7d1db19846cd995da,4233,tt0120082
Scream 3,2000,scream 3,scream 3|2000,8ed834597f79aae7d1f3807bf60bfa85,4234,tt0134084
Scream 4,2011,scream 4,scream 4|2011,c1ad62e8167506bfec5eadd6b5e7c97f,41446,tt1262416
Scream,1996,scream,scream|1996,4b1538d23451f6e39fbd54448f244442,4232,tt0117571
Scream,2022,scream,scream|2022,1b6c9becc084f0599ba4b04237e4f339,646385,tt11245972
Se7en,1995,se7en,se7en|1995,dcde3eb4db3ee398e76769edaf5b21b5,807,tt0114369
Sea Fog (2014),2014,sea fog,sea fog|2014,b416c30d6ddf1969c6d511c4ffbeb1e5,272691,tt3303728
Seabiscuit (2003),2003,seabiscuit,seabiscuit|2003,dd1481b9a8980b29825237be79bc16d4,4464,tt0329575
The Second Best Exotic Marigold Hotel (2015),2015,second best exotic marigold hotel,second best exotic marigold hotel|2015,db5de25997c290c22a446f05daded5b9,268238,tt2555736
Secret in Their Eyes (2015),2015,secret in their eyes,secret in their eyes|2015,e8b8e8eb2802dedf5c43a554b14aaebf,290751,tt1741273
The Secret Life of Walter Mitty,2013,secret life of walter mitty,secret life of walter mitty|2013,68fe6c56f32a04f49f59a39815c2d786,116745,tt0359950
Secret Window (2004),2004,secret window,secret window|2004,e6df69d8230c68df335c9034fccfe218,1586,tt0363988
The Secret World of Arrietty,2010,secret world of arrietty,secret world of arrietty|2010,e5ba558ca1731ff1b6627c4e1a17b870,51739,tt1568921
Secrets & Lies,1996,secrets and lies,secrets and lies|1996,6d39a2c46ca4b3e993325544e62c8907,11159,tt0117589
The Selfish Giant (2013),2013,selfish giant,selfish giant|2013,d0ca311942cdcf1749d6e6d859ca4e8e,194101,tt2304426
A Separation (2011),2011,separation,separation|2011,d478b7a4a66e8dd8507348e76717d0df,60243,tt1832382
Seraphim Falls (2007),2006,seraphim falls,seraphim falls|2006,7aa6cc05b2f26a35729a58844c052d62,13249,tt0479537
Serendipity (2001),2001,serendipity,serendipity|2001,bd45e7022990ff469f2004adbe18d826,9778,tt0240890
Serenity (2019),2019,serenity,serenity|2019,111b3a967b547adb860fda420c322efb,452832,tt6476140
A Serious Man (2009),2009,serious man,serious man|2009,80b64d3d3449fe92f9f83784740376d2,12573,tt1019452
Serving Sara (2002),2002,serving sara,serving sara|2002,58f3fa434e3fb00ee4a7033ad757cae9,12771,tt0261289
The Sessions (2012),2012,sessions,sessions|2012,82d85fb714267ad2c7f2934092813c41,113947,tt1866249
Seven Pounds (2008),2008,seven pounds,seven pounds|2008,16cf1f1be498eb043d9d34a3d36fbb62,11321,tt0814314
Seven Psychopaths (2012),2012,seven psychopaths,seven psychopaths|2012,a0a2bc3a01338688580f971351927d01,86838,tt1931533
Seven Samurai,1954,seven samurai,seven samurai|1954,d2eb3cbd1673ab3c976c561f048b199c,346,tt0047478
"sex, lies, and videotape (1989)",1989,sex lies and videotape,sex lies and videotape|1989,57713d0a36267b8689176fc02acdf757,1412,tt0098724
Shadow Dancer (2012),2012,shadow dancer,shadow dancer|2012,b002b82d4bed589ca1cb3deb65474b44,84336,tt1770734
Shadow of a Doubt (1943),1943,shadow of a doubt,shadow of a doubt|1943,064bdc267f9ecbcb136f5f7c1df26c76,21734,tt0036342
Shadowlands,1993,shadowlands,shadowlands|1993,fb66be5b4af251f13c8c242776161c48,10445,tt0108101
Shakespeare in Love (1998),1998,shakespeare in love,shakespeare in love|1998,e89dfdf48de42e73fbc5b393affa902d,1934,tt0138097
Shallow Grave (1994),1994,shallow grave,shallow grave|1994,3da7ed81399405e87f405d4ce964ce5f,9905,tt0111149
Shallow Hal (2001),2001,shallow hal,shallow hal|2001,48cabf9eb25188bb96ac17bcdc982be2,9889,tt0256380
Shame (2011),2011,shame,shame|2011,0b34c9f2c908e4e0dc40d1f4a28b1b17,76025,tt1723811
The Shape of Water (2017),2017,shape of water,shape of water|2017,5d63533f33d92df62e8abbdbc1ba1f06,399055,tt5580390
Shark Tale (2004),2004,shark tale,shark tale|2004,06f2875b548f1ce294e0e97492f789ef,10555,tt0307453
Sharknado,2013,sharknado,sharknado|2013,a476b2bd7d01565516d386a95c9a42e5,205321,tt2724064
Shaun of the Dead (2004),2004,shaun of the dead,shaun of the dead|2004,812507c33e868927c6fda193d5da4998,747,tt0365748
Shaun the Sheep Movie (2015),2015,shaun the sheep movie,shaun the sheep movie|2015,5f8d461dd927541f1e3cf4cded620fd1,263109,tt2872750
The Shawshank Redemption,1994,shawshank redemption,shawshank redemption|1994,dcf8463f6f20dbf2ee5b064cf94873c2,278,tt0111161
Shelter,2026,shelter,shelter|2026,1ad3c1c005481d19779440aa3ba194a6,1290821,tt32357218
Sherlock Holmes- A Game of Shadows (2011),2011,sherlock holmes a game of shadows,sherlock holmes a game of shadows|2011,0b3b07b9d391eb0107fbdbfc7af5b6d8,,tt2298459
Sherlock Holmes (2009),2009,sherlock holmes,sherlock holmes|2009,77b15e5178d78618d9d8b7cef5dfdacb,10528,tt0988045
She's the Man (2006),2006,shes the man,shes the man|2006,3bfd24856bebf433b6f117645277f997,9655,tt0454945
The Shining,1980,shining,shining|1980,08138429267c7467fa7567e44e72433a,694,tt0081505
Shoot 'Em Up (2007),2007,shoot em up,shoot em up|2007,388d03672c32e2b306bfc4e4f9cc065b,4141,tt0465602
Shooter,2007,shooter,shooter|2007,ba16974a0b05b00899ee63e147d74d64,7485,tt0822854
Short Cuts,1993,short cuts,short cuts|1993,4e87512b97bdf11a8fbcb832d3ad4ace,695,tt0108122
Shrek 2,2004,shrek 2,shrek 2|2004,5a2b64745d13a16d8f5631baa534cc07,809,tt0298148
Shrek Forever After (2010),2010,shrek forever after,shrek forever after|2010,2e53694c777e507fbd1294fbb1fc18ea,10192,tt0892791
Shrek the Third,2007,shrek the third,shrek the third|2007,3aa7edebcf3e77830c951d636e16f95e,810,tt0413267
Shrek,2001,shrek,shrek|2001,33670a286208f5174cb592f2d5326ec1,808,tt0126029
Shutter Island (2010),2010,shutter island,shutter island|2010,b662da03fbc8b9d8c041617719e243d2,11324,tt1130884
Shutter,2004,shutter,shutter|2004,90c11d89d60d9041242c49495f54cce2,17111,tt0440803
Sicario (2015),2015,sicario,sicario|2015,ca4306b82a1478d033eaaf47011ea3e4,273481,tt3397884
Sicko (2007),2007,sicko,sicko|2007,5404c35bbbebb06442fd56dda00a4bef,2359,tt0386032
Side by Side (2012),2012,side by side,side by side|2012,f8009b6e75f42532dcd44ba9c7977977,110354,tt2014338
Side Effects,2005,side effects,side effects|2005,46a6bb5016547f04293fd067d2d29810,7871,tt0438427
Side Effects (2013),2013,side effects,side effects|2013,ba46890a41359cd119f695106729a2b9,109421,tt2053463
Sideways,2004,sideways,sideways|2004,6c2e87be7e998a28c97dad7febf1ff79,9675,tt0375063
Signs (2002),2002,signs,signs|2002,43fa92116fe42ad39fe440e8886fe77b,2675,tt0286106
The Silence of the Lambs,1991,silence of the lambs,silence of the lambs|1991,f35a092c8d94f97f1a80472c1c9ac0ca,274,tt0102926
Silent Hill (2006),2006,silent hill,silent hill|2006,fb35d0a5479e6d0038a8380fe179c969,1236485,tt16281854
Silver Linings Playbook (2012),2012,silver linings playbook,silver linings playbook|2012,ba0a7aca4f638a871fec1088f6ec047d,82693,tt1045658
The Simpsons Movie (2007),2007,simpsons movie,simpsons movie|2007,0da02ff369013fed3cdb147dea8e013a,35,tt0462538
Sin City (2005),2005,sin city,sin city|2005,234754abe8b492bf7040e82dfa5b282e,187,tt0401792
A Single Man (2009),2009,single man,single man|2009,b4354f14ff87c78edd3b8ec1c9d7aca3,34653,tt1315981
Sinister (2012),2012,sinister,sinister|2012,74f954245be037ac66d225bffd7a8005,82507,tt1922777
Sinners,2025,sinners,sinners|2025,539a3cc644cff7722edabaf7117515f6,1233413,tt31193180
The Sixth Sense,1999,sixth sense,sixth sense|1999,0cdf1a71b7e9d5f68f1e50f6418d0f00,745,tt0167404
The Skeleton Key (2005),2005,skeleton key,skeleton key|2005,f12adbd93576a34358191187498ed83c,9913,tt0397101
The Skeleton Twins (2014),2014,skeleton twins,skeleton twins|2014,0b9a2d95bd026c3864dca143607bde2b,244772,tt1571249
Skyfall (2012),2012,skyfall,skyfall|2012,7009c4067e29fd8bdd226cc6bccafc3e,37724,tt1074638
Sleepers (1996),1996,sleepers,sleepers|1996,3bd26d08f048d07b065a85bba62beed1,819,tt0117665
Sleeping Beauty (1959),1959,sleeping beauty,sleeping beauty|1959,61fa4a615c056d2f7b6fa45c54e161f3,10882,tt0053285
Sleepless in Seattle (1993),1993,sleepless in seattle,sleepless in seattle|1993,1f3860a9e6489ce24f5a8613201f7de8,858,tt0108160
Sleepwalk with Me (2012),2012,sleepwalk with me,sleepwalk with me|2012,0b8bc8611e35ac287ac045cb060fc258,84340,tt2077851
Sleepy Hollow (1999),1999,sleepy hollow,sleepy hollow|1999,2f867beff80a8e5f7bd2dfa9402d77b3,2668,tt0162661
Sleuth (1972),1972,sleuth,sleuth|1972,2b52b6b76ae1d0ef03426feb72dbd3dc,993,tt0069281
Sliding Doors (1998),1998,sliding doors,sliding doors|1998,15529bc6a6c135a34e9056211899a571,10215,tt0120148
Slither (2006),2006,slither,slither|2006,bb8ba8577d0167b34f6ec21162b19200,9035,tt0439815
Sliver (1993),1993,sliver,sliver|1993,898cf5fd6cd9b63cbd0dcf625d4e6869,867,tt0108162
Slow West (2015),2015,slow west,slow west|2015,f90a6bf874ccacd5c5386bbaa687c6f5,223485,tt3205376
Slumdog Millionaire,2008,slumdog millionaire,slumdog millionaire|2008,2d509f20adf30d56f8c32feb70479d8e,12405,tt1010048
The Smurfs,2011,smurfs,smurfs|2011,365cf0907011b9fdfca8d6139896ad77,41513,tt0472181
Snatch (2000),2000,snatch,snatch|2000,40c02c9d92da45b53955d8b16e88ba8e,107,tt0208092
Snoopy Presents- For Auld Lang Syne (2021),2021,snoopy presents for auld lang syne,snoopy presents for auld lang syne|2021,d83ea34d4918f363e96a03f335794e08,881211,tt15553258
Snow Chick - A Penguin's Tale (2015),2015,snow chick a penguins tale,snow chick a penguins tale|2015,9b57c020f59a4a14330ba88655bfca52,376938,tt5296936
Snow White and the Huntsman (2012),2012,snow white and the huntsman,snow white and the huntsman|2012,03846d324c579ea65a9dc4fa9e60fe2f,58595,tt1735898
Snowden (2016),2016,snowden,snowden|2016,4d51ace7a3aab5b4d95d62b3430caa21,302401,tt3774114
Snowpiercer (2013),2013,snowpiercer,snowpiercer|2013,f0cfc49017677daaba3cc043354ef41a,110415,tt1706620
Snowtown (2011),2011,snowtown,snowtown|2011,126934f7445d20324165f3417e64eaac,67748,tt1680114
The Social Network (2010),2010,social network,social network|2010,3ecfb9da7202033c4207b0867f2408cd,37799,tt1285016
Solaris (2002),2002,solaris,solaris|2002,05261b3b044fc77e594903aa6e7e7130,2103,tt0307479
Son of a Gun,2014,son of a gun,son of a gun|2014,08d1ffaaeb6435349edfc9170110ff86,294652,tt2452200
Son of the Mask (2005),2005,son of the mask,son of the mask|2005,6622560e1c87a241571a3a1337bc1e04,10214,tt0362165
Sophie's Choice (1982),1982,sophies choice,sophies choice|1982,5c4d2faa3b9161b05c40e32dbf8fc5e8,15764,tt0084707
"Sorry, Baby (2025)",2025,sorry baby,sorry baby|2025,b19699989a5a934c29b0af8a39b736f6,1205515,tt32843349
Sound of Metal,2020,sound of metal,sound of metal|2020,d5e91ad4c4252b2d55f7fe9b2fdffdb2,502033,tt5363618
Sound of My Voice (2011),2011,sound of my voice,sound of my voice|2011,6de13e811539bd8649f1ae53741f9a3e,86812,tt1748207
Source Code (2011),2011,source code,source code|2011,9b92834cdc6dddcf1ed5c3a6489f85cc,45612,tt0945513
South Central (1992),1992,south central,south central|1992,a5d95dc6185ad3926d6fdc687557709c,23196,tt0105450
"South Park- Bigger, Longer & Uncut (1999)",1999,south park bigger longer and uncut,south park bigger longer and uncut|1999,60d2f320ee3ffc197caebd69befd227a,9473,tt0158983
Southpaw,2015,southpaw,southpaw|2015,e2e3a198c5410a92fc678fb97e85f7fa,307081,tt1798684
The Spanish Prisoner,1997,spanish prisoner,spanish prisoner|1997,0df7f9d14de09a5806112571cfba01a7,29193,tt0120176
Spectre (2015),2015,spectre,spectre|2015,c482b46a448ba354ed4c325f0ed869f4,206647,tt2379713
Speed 2: Cruise Control,1997,speed 2 cruise control,speed 2 cruise control|1997,6741fc1610aa771a5548c85fbd8777fd,1639,tt0120179
Speed,1994,speed,speed|1994,e859ddeb9f30b335b9a6cd94a5e66660,1637,tt0111257
Spider-Man 2,2004,spider man 2,spider man 2|2004,8561e6878cd57f3c1a7b6e79ee00737b,558,tt0316654
Spider-Man: Across the Spider-Verse,2023,spider man across the spider verse,spider man across the spider verse|2023,8be69d28372b751e4b6cc3f64a9342ec,569094,tt9362722
Spider-Man: Homecoming,2017,spider man homecoming,spider man homecoming|2017,441bba1ee166d6785e0b7cba9ff1d25d,315635,tt2250912
Spider-Man: Into the Spider-Verse,2018,spider man into the spider verse,spider man into the spider verse|2018,4394693be34ef0d88ce0c48e759d1209,324857,tt4633694
Spider-Man (2002),2002,spider man,spider man|2002,5ddacca917ffbf36720ae2429d022b51,557,tt0145487
The Spiderwick Chronicles (2008),2008,spiderwick chronicles,spiderwick chronicles|2008,93e9a64c86ae808ac5ebfcdc96134796,8204,tt0416236
Spirited Away,2001,spirited away,spirited away|2001,d660acd0a61cdf4c7d6ff86abed25fbb,129,tt0245429
Splice (2010),2009,splice,splice|2009,e07c08d6b2894a2ca20552d92049a166,37707,tt1017460
The SpongeBob Movie: Search for SquarePants,2025,spongebob movie search for squarepants,spongebob movie search for squarepants|2025,99e1567e9dfed87214fc396cf9528cc0,991494,tt23572848
Spotlight,2015,spotlight,spotlight|2015,e65789419db256827879e520f2c4e4f9,314365,tt1895587
Spy Game (2001),2001,spy game,spy game|2001,d1d2bb091f032e38be7ae4caa84af375,1535,tt0266987
Spy Kids (2001),2001,spy kids,spy kids|2001,15a24faa82d8eeb3c43936708e102e93,10054,tt0227538
The Spy Who Loved Me (1977),1977,spy who loved me,spy who loved me|1977,c6c68ddab6eb45864e433fa445090d5b,691,tt0076752
Spy (2015),2015,spy,spy|2015,332387feb7f689c6e26ab2eb1f56d1c2,238713,tt3079380
St. Elmo's Fire (1985),1985,st elmos fire,st elmos fire|1985,aec708b4134853d20e1683566a8f76fb,11557,tt0090060
Stand by Me (1986),1986,stand by me,stand by me|1986,ed47d506cdcde7135224c3dcbd2088f3,235,tt0092005
The Stanford Prison Experiment (2015),2015,stanford prison experiment,stanford prison experiment|2015,5bb276e9f6b84373ae1e1eb81f2efd0e,308032,tt0420293
Star Trek Beyond (2016),2016,star trek beyond,star trek beyond|2016,902fe35ab030d5efaf7b85a9f145e7dc,188927,tt2660888
Star Trek Into Darkness (2013),2013,star trek into darkness,star trek into darkness|2013,fab7925edefe02e15724e7f7282a779d,54138,tt1408101
Star Wars- Episode I - The Phantom Menace (1999),1999,star wars episode i the phantom menace,star wars episode i the phantom menace|1999,b964026d8ec01d55e6939b48f277a36c,1893,tt0120915
Star Wars- Episode II - Attack of the Clones (2002),2002,star wars episode ii attack of the clones,star wars episode ii attack of the clones|2002,204411b20719c003398c94d83ab7ee03,1894,tt0121765
Star Wars- Episode III - Revenge of the Sith (2005),2005,star wars episode iii revenge of the sith,star wars episode iii revenge of the sith|2005,6eea2dbf68934341dd9d51746cf3a686,1895,tt0121766
Star Wars (1977),1977,star wars,star wars|1977,04d65a2308d93495a746b8ee62b0eb45,11,tt0076759
Starred Up,2014,starred up,starred up|2014,8ec50776efc84e946ea5c628b7de0f74,209276,tt2567712
State of Grace,1990,state of grace,state of grace|1990,d31cd45855c65b806a173d5b7534dd4f,1662,tt0100685
State of Play,2009,state of play,state of play|2009,7ca1fb137def1b8baa28c8f97e7ba425,16995,tt0473705
Stealth (2005),2005,stealth,stealth|2005,68c4504d9ef40ad337002c10ed9b416f,10048,tt0382992
Step Up 2- The Streets (2008),2008,step up 2 the streets,step up 2 the streets|2008,6aef0f65fe0da0347ab5ee022eb2dbb9,8328,tt1023481
The Stepfather (2009),2009,stepfather,stepfather|2009,b06ed1e1159677123857f1d112bbee42,19904,tt0814335
Steve Jobs (2015),2015,steve jobs,steve jobs|2015,79c9f864cd3b911f702c6d8f6179c25e,321697,tt2080374
Still Mine (2012),2012,still mine,still mine|2012,344698c2d7fc2979ab3fca32a8b59689,128215,tt2073086
Stir of Echoes (1999),1999,stir of echoes,stir of echoes|1999,abdaae7d7e5cca2784d6bbecea636948,11601,tt0164181
Stone (2010),2010,stone,stone|2010,80a8f4df8df50ffc4f6692bafc8159f0,44113,tt1423995
Stop-Loss,2008,stop loss,stop loss|2008,ec6c2d6d522fb2d85b1d340e4158033c,8988,tt0489281
Stories We Tell (2012),2012,stories we tell,stories we tell|2012,bf112b95c40c9aa1997d6febf867f3d9,96936,tt2132285
Storks (2016),2016,storks,storks|2016,4a44d34ace0ca52e97331c0ed88a8c78,332210,tt4624424
The Straight Story (1999),1999,straight story,straight story|1999,2b34a4917ea6d5a21dd98dc1e95194c2,404,tt0166896
Stranger Than Fiction (2006),2006,stranger than fiction,stranger than fiction|2006,e19b62844736f65c9379d203c18dc16e,1262,tt0420223
Striptease (1996),1996,striptease,striptease|1996,3d84e95ea4682661ab8cde04a58450e5,9879,tt0117765
Stuart Little (1999),1999,stuart little,stuart little|1999,d123cbdf76d6f3f4993898bad26e4089,10137,tt0164912
Stuck on You (2003),2003,stuck on you,stuck on you|2003,2be837195c79c96bbcf9b2b425733818,1792,tt0338466
The Substance,2024,substance,substance|2024,50ec7ece831bd53f6f90c5b3198f1355,933260,tt17526714
The Suicide Squad (2021),2021,suicide squad,suicide squad|2021,257cd0be5b3389fc46b809d6c9b520df,436969,tt6334354
Sully,2016,sully,sully|2016,9a196cbfb719719f4ab254bb85e05895,363676,tt3263904
The Sum of All Fears (2002),2002,sum of all fears,sum of all fears|2002,81066a463a427643b134d01188ce8648,4614,tt0164184
The Sum of Us (1994),1994,sum of us,sum of us|1994,fce5a04a7daa9bcf5e2cc5f196ac0483,36614,tt0111309
Sunset Boulevard (1950),1950,sunset boulevard,sunset boulevard|1950,eefdcb8a6283e9d7a4a9d7e046d6029e,599,tt0043014
Sunshine on Leith,2013,sunshine on leith,sunshine on leith|2013,1dc331c81e3ce48aba15ebdbee943e72,214100,tt2481198
Super 8 (2011),2011,super 8,super 8|2011,b28ebdc705cb23dff3ac1d231ab14ed6,37686,tt1650062
Superbad,2007,superbad,superbad|2007,5ba4c163057a9ed2f1bb912c70af59b1,8363,tt0829482
Superman II (1980),1980,superman ii,superman ii|1980,bdce633ed89c19982b766ff027cd7d03,8536,tt0081573
Superman Returns (2006),2006,superman returns,superman returns|2006,8ba4477195f52a8d2e6e630e3b790eae,1452,tt0348150
Superman- Unbound (2013),2013,superman unbound,superman unbound|2013,7cb7ef010e1ac06a366429e022d18776,166076,tt2617456
Superman (2025),2025,superman,superman|2025,7f4fa220a9a4944293735e50ced82b6f,1061474,tt5950044
The Swan (2023),2023,swan,swan|2023,664a3bf9b8fbb381682a56254e9a252e,1172675,tt28912758
Sweeney Todd: The Demon Barber of Fleet Street,2007,sweeney todd the demon barber of fleet street,sweeney todd the demon barber of fleet street|2007,e3079ebf08de7859fceb8261cc6de4ee,13885,tt0408236
Sweet Home Alabama (2002),2002,sweet home alabama,sweet home alabama|2002,7efc4e54aa1976450a72593b483b3c60,11529,tt0256415
Sweet November (2001),2001,sweet november,sweet november|2001,b36b65539fd7a9aebbf58bae197eb7fc,1921,tt0230838
Swiss Army Man (2016),2016,swiss army man,swiss army man|2016,eafbd574bddba5830de8c5959d9c7954,347031,tt4034354
Swordfish,2001,swordfish,swordfish|2001,ff596a290f7a933fa00aebde2afcf394,9705,tt0244244
Syriana (2005),2005,syriana,syriana|2005,34e295460723f01e2050c3fdea1d436b,231,tt0365737
The Tailor of Panama (2001),2001,tailor of panama,tailor of panama|2001,6d762a2233369a57306f5b250f8f2350,2575,tt0236784
Take My Hand (2024),2024,take my hand,take my hand|2024,a5d5f6f00931ad578dcb8c2961918f6b,1103812,tt16025158
Take Shelter (2011),2011,take shelter,take shelter|2011,39e80294dcab8f876338017fd40628af,64720,tt1675192
Taken 2,2012,taken 2,taken 2|2012,a1c1960716c988a107af8b5b91df017c,82675,tt1397280
Taken 3 (2014),2014,taken 3,taken 3|2014,185a17287c51ebe01d92c7f5e252c0af,260346,tt2446042
Taken,2008,taken,taken|2008,f1925714358afe9f513737863d0725de,8681,tt0936501
The Taking of Pelham 1 2 3,2009,taking of pelham 1 2 3,taking of pelham 1 2 3|2009,9c95c642576acbf9540a4356841501c5,18487,tt1111422
The Tale of The Princess Kaguya (2013),2013,tale of the princess kaguya,tale of the princess kaguya|2013,cf8a59b4889d0eb1345115418ee2e7bb,149871,tt2576852
The Tall Man (2012),2012,tall man,tall man|2012,52eaaa31cb5774d2064c12ffce30db39,86597,tt1658837
Tangerine (2015),2015,tangerine,tangerine|2015,60ceffcc29ef7396becc4269563588f8,308084,tt3824458
Tangled (2010),2010,tangled,tangled|2010,1f4bf6a7736ee3de6d175ba7085158e1,38757,tt0398286
The Tank,2025,tank,tank|2025,2c18bdff80347a6e3071e409a599ea9d,1252037,tt31495504
TÁR,2022,tar,tar|2022,bca6d7b87d5597d9df9738f3dbf624b4,817758,tt14444726
Tarzan (1999),2013,tarzan,tarzan|2013,cc18ea1ff5be6259b556756624661e1d,230222,tt1705952
A Taste of Honey (1961),1961,taste of honey,taste of honey|1961,865e93e5a1f12e64bea417599249bb29,25062,tt0055506
Tater Tot & Patton (2017),2017,tater tot and patton,tater tot and patton|2017,fbfc737ea1578490e79cb49d1652da70,417264,tt4919240
Taxi Driver,1976,taxi driver,taxi driver|1976,225ea4442025adaec777775905a76a8a,103,tt0075314
Ted (2012),2012,ted,ted|2012,23181b6daaa2ba3a57c850a6660659c5,72105,tt1637725
Teenage Mutant Ninja Turtles II- The Secret of the Ooze (1991),1991,teenage mutant ninja turtles ii the secret of the ooze,teenage mutant ninja turtles ii the secret of the ooze|1991,96d53c60f5f1510da6dc508c10b4a6a9,1497,tt0103060
Teenage Mutant Ninja Turtles III (1993),1993,teenage mutant ninja turtles iii,teenage mutant ninja turtles iii|1993,50205f9565474ecb3e4de61ca18e9dff,1499,tt0108308
Teenage Mutant Ninja Turtles- Out of the Shadows (2016),2016,teenage mutant ninja turtles out of the shadows,teenage mutant ninja turtles out of the shadows|2016,a267f856cfed4ce065fe946819ca7f96,308531,tt3949660
Teenage Mutant Ninja Turtles,1990,teenage mutant ninja turtles,teenage mutant ninja turtles|1990,f35f8ad62abbbef517d5a4a3f158be49,1498,tt0100758
Teenage Mutant Ninja Turtles (2014),2014,teenage mutant ninja turtles,teenage mutant ninja turtles|2014,90580b236fad4a3f9d5428f591451a4b,98566,tt1291150
The Terminal (2004),2004,terminal,terminal|2004,385de4916eb7b27c499e9fff6a470498,594,tt0362227
Terminator 2- Judgment Day (1991),1991,terminator 2 judgment day,terminator 2 judgment day|1991,8a55cd299e77f78b601c2d59d498a86e,280,tt0103064
Terminator 3- Rise of the Machines (2003),2003,terminator 3 rise of the machines,terminator 3 rise of the machines|2003,34b945f8003c16eb9e90d92525ee3690,296,tt0181852
Terminator Salvation (2009),2009,terminator salvation,terminator salvation|2009,3600ecbb2f553d970fc99b85de3193c5,534,tt0438488
The Terminator (1984),1984,terminator,terminator|1984,da0f00f328058e59fddf0e4a12f24163,218,tt0088247
Terms of Endearment (1983),1983,terms of endearment,terms of endearment|1983,c21130b373a116baeb1d2861bcb16ce2,11050,tt0086425
Tess (1979),1979,tess,tess|1979,78ec351ddfcd40350884525bf2d82f8b,11121,tt0080009
Testament of Youth (2015),2014,testament of youth,testament of youth|2014,6a2ef39bd7bb25da3d95b3a032d4ae0c,284689,tt1441953
The Texas Chain Saw Massacre (1974),1974,texas chain saw massacre,texas chain saw massacre|1974,e14bf743e6abaddf15ef3425824e8a69,30497,tt0072271
Thank You for Smoking,2005,thank you for smoking,thank you for smoking|2005,30e233f57e3793cbb80e660ca2d1785c,9388,tt0427944
The Theory of Everything (2014),2014,theory of everything,theory of everything|2014,ecf7d3b02f8e435117ff45d8137062a3,266856,tt2980516
There Will Be Blood,2007,there will be blood,there will be blood|2007,7a90d133069a13e7231d50ef2dc74ec2,7345,tt0469494
There's Something About Mary (1998),1998,theres something about mary,theres something about mary|1998,2f69838b3f8e3a9a1471c15480e1ae15,544,tt0129387
These Final Hours (2014),2013,these final hours,these final hours|2013,e8f98d912fc8aaa73285adc6e89e4b40,199575,tt2268458
They Came Together (2014),2014,they came together,they came together|2014,137bd44cc781c865856c763e24b7080f,180296,tt2398249
The Third Man,1949,third man,third man|1949,9ec5a5f7bbb42b21d698927cad10ff2c,1092,tt0041959
Thirteen (2003),2003,thirteen,thirteen|2003,52cde163e9481383dba06e918cfca994,11023,tt0328538
This Boy's Life (1993),1993,this boys life,this boys life|1993,d5fd87a4cfb2f0f828cab31925b860d4,8092,tt0108330
